model,configuration,terminal_price,price_change,impermanent_loss,daily_volume_fraction,availability,fee_return,fee_value,absolute_lp_return,excess_return_vs_hold
Uniswap V2,0.30% fee,0.5,-0.5,-0.057190958417936644,0.1,1.0,0.009000000000000001,9000.000000000002,-0.28389321881345253,-0.045190958417936744
Uniswap V2,0.30% fee,0.5,-0.5,-0.057190958417936644,0.5,1.0,0.045,45000.0,-0.2478932188134525,0.0028090415820634096
Uniswap V2,0.30% fee,0.5,-0.5,-0.057190958417936644,1.0,1.0,0.09,90000.0,-0.20289321881345257,0.06280904158206324
Uniswap V2,0.30% fee,0.8,-0.2,-0.006192010000093506,0.1,1.0,0.009000000000000001,9000.000000000002,-0.09657280900008414,0.0038079899999063915
Uniswap V2,0.30% fee,0.8,-0.2,-0.006192010000093506,0.5,1.0,0.045,45000.0,-0.060572809000084216,0.04380798999990643
Uniswap V2,0.30% fee,0.8,-0.2,-0.006192010000093506,1.0,1.0,0.09,90000.0,-0.015572809000084176,0.09380798999990647
Uniswap V2,0.30% fee,0.95,-0.05,-0.0003287851477985493,0.1,1.0,0.009000000000000001,9000.000000000002,-0.016320565519103547,0.008901984082970715
Uniswap V2,0.30% fee,0.95,-0.05,-0.0003287851477985493,0.5,1.0,0.045,45000.0,0.019679434480896374,0.04582506100604755
Uniswap V2,0.30% fee,0.95,-0.05,-0.0003287851477985493,1.0,1.0,0.09,90000.0,0.06467943448089652,0.09197890715989376
Uniswap V2,0.30% fee,1.05,0.05,-0.00029748624784398103,0.1,1.0,0.009000000000000001,9000.000000000002,0.03369507659596005,0.008483001557034076
Uniswap V2,0.30% fee,1.05,0.05,-0.00029748624784398103,0.5,1.0,0.045,45000.0,0.06969507659595986,0.0436049527765463
Uniswap V2,0.30% fee,1.05,0.05,-0.00029748624784398103,1.0,1.0,0.09,90000.0,0.11469507659596001,0.08750739180093658
Uniswap V2,0.30% fee,1.2,0.2,-0.004140804536061582,0.1,1.0,0.009000000000000001,9000.000000000002,0.10444511501033227,0.004041013645756708
Uniswap V2,0.30% fee,1.2,0.2,-0.004140804536061582,0.5,1.0,0.045,45000.0,0.1404451150103323,0.036768286373029424
Uniswap V2,0.30% fee,1.2,0.2,-0.004140804536061582,1.0,1.0,0.09,90000.0,0.18544511501033223,0.07767737728212021
Uniswap V2,0.30% fee,1.5,0.5,-0.020204102886728803,0.1,1.0,0.009000000000000001,9000.000000000002,0.23374487139158906,-0.013004102886728708
Uniswap V2,0.30% fee,1.5,0.5,-0.020204102886728803,0.5,1.0,0.045,45000.0,0.2697448713915891,0.01579589711327123
Uniswap V2,0.30% fee,1.5,0.5,-0.020204102886728803,1.0,1.0,0.09,90000.0,0.314744871391589,0.05179589711327126
Uniswap V3,"narrow [0.95, 1.05]",0.5,-0.5,-0.3299763153401275,0.1,0.10000000000000009,0.000900000000000001,900.0000000000009,-0.4924450019229246,-0.3287861142792823
Uniswap V3,"narrow [0.95, 1.05]",0.5,-0.5,-0.3299763153401275,0.5,0.10000000000000009,0.004500000000000004,4500.000000000004,-0.4888450019229247,-0.3240253100359013
Uniswap V3,"narrow [0.95, 1.05]",0.5,-0.5,-0.3299763153401275,1.0,0.10000000000000009,0.009000000000000008,9000.000000000007,-0.4843450019229246,-0.318074304731675
Uniswap V3,"narrow [0.95, 1.05]",0.8,-0.2,-0.10174511771072214,0.1,0.2500000000000003,0.002250000000000003,2250.0000000000027,-0.18710200307667946,-0.0992519597767958
Uniswap V3,"narrow [0.95, 1.05]",0.8,-0.2,-0.10174511771072214,0.5,0.2500000000000003,0.011250000000000012,11250.000000000011,-0.17810200307667945,-0.0892793280410904
Uniswap V3,"narrow [0.95, 1.05]",0.8,-0.2,-0.10174511771072214,1.0,0.2500000000000003,0.022500000000000023,22500.000000000022,-0.16685200307667947,-0.07681353837145866
Uniswap V3,"narrow [0.95, 1.05]",0.95,-0.05,-0.013297198794935738,0.1,1.0,0.009000000000000001,9000.000000000002,-0.02835550365355688,-0.004072271789639981
Uniswap V3,"narrow [0.95, 1.05]",0.95,-0.05,-0.013297198794935738,0.5,1.0,0.045,45000.0,0.0076444963464430415,0.03282743623154283
Uniswap V3,"narrow [0.95, 1.05]",0.95,-0.05,-0.013297198794935738,1.0,1.0,0.09,90000.0,0.05264449634644297,0.07895207125802117
Uniswap V3,"narrow [0.95, 1.05]",1.05,0.05,-0.012046240363350336,0.1,1.0,0.009000000000000001,9000.000000000002,0.021042566019413345,-0.00326045986826462
Uniswap V3,"narrow [0.95, 1.05]",1.05,0.05,-0.012046240363350336,0.5,1.0,0.045,45000.0,0.05704256601941338,0.03188266211207824
Uniswap V3,"narrow [0.95, 1.05]",1.05,0.05,-0.012046240363350336,1.0,1.0,0.09,90000.0,0.1020425660194133,0.07581156458750682
Uniswap V3,"narrow [0.95, 1.05]",1.2,0.2,-0.07789083030003685,0.1,0.2500000000000003,0.002250000000000003,2250.0000000000027,0.01429256601941331,-0.0758407726231296
Uniswap V3,"narrow [0.95, 1.05]",1.2,0.2,-0.07789083030003685,0.5,0.2500000000000003,0.011250000000000012,11250.000000000011,0.023292566019413208,-0.06764054191550106
Uniswap V3,"narrow [0.95, 1.05]",1.2,0.2,-0.07789083030003685,1.0,0.2500000000000003,0.022500000000000023,22500.000000000022,0.03454256601941319,-0.057390253530965274
Uniswap V3,"narrow [0.95, 1.05]",1.5,0.5,-0.18634665673042183,0.1,0.10000000000000009,0.000900000000000001,900.0000000000009,0.012942566019413348,-0.1856230824129671
Uniswap V3,"narrow [0.95, 1.05]",1.5,0.5,-0.18634665673042183,0.5,0.10000000000000009,0.004500000000000004,4500.000000000004,0.016542566019413396,-0.18272878514314816
Uniswap V3,"narrow [0.95, 1.05]",1.5,0.5,-0.18634665673042183,1.0,0.10000000000000009,0.009000000000000008,9000.000000000007,0.021042566019413345,-0.1791109135558746
