model,configuration,tvl,trade_fraction,gross_input,fee_paid,net_input,output,execution_price,slippage
Uniswap V2,0.30% fee,100000,0.001,100.0,0.3,99.7,99.50159382191487,0.9950159382191487,0.004984061780851312
Uniswap V2,0.30% fee,100000,0.005,500.0,1.5,498.5,493.57901719852816,0.9871580343970563,0.012841965602943706
Uniswap V2,0.30% fee,100000,0.01,1000.0,3.0,997.0,977.5084808910324,0.9775084808910324,0.022491519108967628
Uniswap V2,0.30% fee,100000,0.02,2000.0,6.0,1994.0,1917.528945647573,0.9587644728237865,0.04123552717621348
Uniswap V2,0.30% fee,100000,0.05,5000.0,15.0,4985.0,4533.054469400748,0.9066108938801495,0.09338910611985052
Uniswap V2,0.30% fee,100000,0.1,10000.0,30.0,9970.0,8312.489578122397,0.8312489578122397,0.16875104218776027
Uniswap V2,0.30% fee,100000,0.2,20000.0,60.0,19940.0,14255.075779239349,0.7127537889619674,0.2872462110380326
Uniswap V3,"narrow [0.95, 1.05]",100000,0.001,100.0,0.3,99.7,99.69508780046091,0.9969508780046091,0.003049121995390869
Uniswap V3,"narrow [0.95, 1.05]",100000,0.005,500.0,1.5,498.5,498.37721921232065,0.9967544384246413,0.003245561575358713
Uniswap V3,"narrow [0.95, 1.05]",100000,0.01,1000.0,3.0,997.0,996.5089977838138,0.9965089977838139,0.0034910022161861454
Uniswap V3,"narrow [0.95, 1.05]",100000,0.02,2000.0,6.0,1994.0,1992.0369578932011,0.9960184789466006,0.003981521053399439
Uniswap V3,"narrow [0.95, 1.05]",100000,0.05,5000.0,15.0,4985.0,4972.749077913363,0.9945498155826726,0.005450184417327364
Uniswap V3,"narrow [0.95, 1.05]",100000,0.1,10000.0,30.0,9970.0,9921.116445778338,0.9921116445778337,0.00788835542216626
Uniswap V3,"narrow [0.95, 1.05]",100000,0.2,20000.0,60.0,19940.0,19745.419822298154,0.9872709911149077,0.012729008885092319
Uniswap V3,"medium [0.80, 1.20]",100000,0.001,100.0,0.3,99.7,99.68084893908029,0.9968084893908029,0.00319151060919709
Uniswap V3,"medium [0.80, 1.20]",100000,0.005,500.0,1.5,498.5,498.0215910614737,0.9960431821229474,0.003956817877052599
Uniswap V3,"medium [0.80, 1.20]",100000,0.01,1000.0,3.0,997.0,995.0881989956204,0.9950881989956204,0.004911801004379601
Uniswap V3,"medium [0.80, 1.20]",100000,0.02,2000.0,6.0,1994.0,1986.3674318415165,0.9931837159207583,0.00681628407924173
Uniswap V3,"medium [0.80, 1.20]",100000,0.05,5000.0,15.0,4985.0,4937.568782510214,0.9875137565020428,0.012486243497957239
Uniswap V3,"medium [0.80, 1.20]",100000,0.1,10000.0,30.0,9970.0,9782.063307798551,0.9782063307798551,0.021793669220144918
Uniswap V3,"medium [0.80, 1.20]",100000,0.2,20000.0,60.0,19940.0,19202.161646395474,0.9601080823197737,0.03989191768022626
Uniswap V3,"wide [0.50, 2.00]",100000,0.001,100.0,0.3,99.7,99.64180628771781,0.9964180628771782,0.0035819371228218433
Uniswap V3,"wide [0.50, 2.00]",100000,0.005,500.0,1.5,498.5,497.04854597907996,0.9940970919581599,0.005902908041840127
Uniswap V3,"wide [0.50, 2.00]",100000,0.01,1000.0,3.0,997.0,991.2110393030212,0.9912110393030211,0.008788960696978876
Uniswap V3,"wide [0.50, 2.00]",100000,0.02,2000.0,6.0,1994.0,1970.977832660276,0.9854889163301379,0.01451108366986209
Uniswap V3,"wide [0.50, 2.00]",100000,0.05,5000.0,15.0,4985.0,4843.5609773325305,0.9687121954665061,0.03128780453349389
Uniswap V3,"wide [0.50, 2.00]",100000,0.1,10000.0,30.0,9970.0,9419.853182780722,0.9419853182780722,0.05801468172192781
Uniswap V3,"wide [0.50, 2.00]",100000,0.2,20000.0,60.0,19940.0,17854.49155112607,0.8927245775563035,0.10727542244369648
Curve StableSwap,A=10,100000,0.001,100.0,0.04,99.96,99.9418359656047,0.999418359656047,0.0005816296399727694
Curve StableSwap,A=10,100000,0.005,500.0,0.2,499.8,499.3461930554695,0.998692386110939,0.001307603192856055
